pair_id,expert_i,expert_j,D_pred,D_actual_KL,ARC_Accuracy,Error_KL
pair_01,7,19,0.0009546764,0.0012787296530653491,0.4688844714298485,0.0003240532530653491
pair_02,13,36,0.0013820039,0.002388348383934006,0.48774755216453736,0.0010063444839340059
pair_03,27,43,0.0013838233,0.0016697351826513165,0.46862351570889904,0.0002859118826513164
pair_04,11,47,0.0015403739,0.002652820818405904,0.5111832345866891,0.001112446918405904
pair_05,21,53,0.0016043163,0.0008332332915091433,0.4353098206172289,-0.0007710830084908568
pair_06,24,43,0.0016376368,0.00130072462229308,0.5620508874270375,-0.0003369121777069201
pair_07,9,14,0.0027660572,0.003163217366751293,0.49769504861191566,0.00039716016675129303
pair_08,1,6,0.0028539652,0.002673992828804771,0.47549948403111886,-0.0001799723711952291
pair_09,49,56,0.0028621235,0.0024960982689897575,0.43009119453233596,-0.0003660252310102425
pair_10,7,32,0.0028761248,0.00529404384301542,0.5168855469509963,0.0024179190430154195
pair_11,24,35,0.0028976304,0.004730501060893974,0.6703325856982927,0.0018328706608939736
pair_12,5,39,0.002980929,0.0026582539103458553,0.5063850496834403,-0.0003226750896541445
pair_13,58,62,0.004165369,0.003869078146767964,0.3659030877028555,-0.0002962908532320365
pair_14,45,53,0.0046352367,0.0034785051342836096,0.4444082870961139,-0.0011567315657163902
pair_15,49,59,0.0067475233,0.0057483383687811935,0.4542087244175977,-0.0009991849312188062
pair_16,10,22,0.011552542,0.01040544534160194,0.6311265507943814,-0.0011470966583980603
pair_17,22,31,0.019299634,0.019362105569010662,0.5917553984941356,6.247156901066295e-05
pair_18,4,22,0.027212525,0.027062707769065143,0.5230162598074933,-0.00014981723093485805
